Reference,Publication year,Country (be specific),Latitude,Longitude,Ecosystem,Crops,DOI,Year,Country,State,Landscape,Topic,Sociality: Data Type,Nesting (location): Data Type,Nesting (ability): Data Type,Reproductive Strategy: Data Type,Body size: Data Type,Diet Breadth: Data Type,Voltinism: Data Type,Seasonality: Data Type,Tongue Length: Data Type,Other Functional Traits,Other Functional Traits: Data Type,Total Functional Traits Measured,Source of traits: literature?,Source of traits: own measurement/observations?,Source of traits: calculation from proxy?,Other traits: Data type,Number of bee species analyzed,Trait data available?
"Aguirre-Gutiérrez, J., Kissling, W. D., Carvalheiro, L. G., WallisDeVries, M. F., Franzén, M., & Biesmeijer, J. C. (2016). Functional traits help to explain half-century long shifts in pollinator distributions. Scientific Reports, 6(1), 24451. https://doi.org/10.1038/srep24451",,,,,,,https://doi.org/10.1038/srep24451,2016,Netherlands,NA,Agroecosystem; Natural; Urban,Climate change; Land use and management,NA,NA,NA,NA,numeric,categorical,categorical,numeric,NA,habitat specialization,categorical,5,yes,no,no,categorical,207,no
"Banaszak-Cibicka, W., & Żmihorski, M. (2012). Wild bees along an urban gradient: Winners and losers. Journal of Insect Conservation, 16(3), 331–343. https://doi.org/10.1007/s10841-011-9419-2",2011,Poland,N 52.4166667,E 16.966666666666665,"urban, suburban",.,https://doi.org/10.1007/s10841-011-9419-2,2012,Poland,NA,Urban,Urbanization,categorical,categorical,NA,NA,numeric,categorical,NA,categorical,NA,NA,NA,5,yes,no,no,NA,104,yes
"Bartomeus, I., Ascher, J. S., Gibbs, J., Danforth, B. N., Wagner, D. L., Hedtke, S. M., & Winfree, R. (2013). Historical changes in northeastern US bee pollinators related to shared ecological traits. Proceedings of the National Academy of Sciences, 110(12), 4656–4660. https://doi.org/10.1073/pnas.1218503110",,,,,,,https://doi.org/10.1073/pnas.1218503110,2013,USA,NA,Natural; Agroecosystem; Urban,Climate change,categorical,categorical,NA,NA,numeric,categorical,categorical,categorical,NA,NA,NA,6,yes,no,no,NA,187,yes
"Bartomeus, I., Cariveau, D. P., Harrison, T., & Winfree, R. (2018). On the inconsistency of pollinator species traits for predicting either response to land-use change or functional contribution. Oikos, 127(2), 306–315. https://doi.org/10.1111/oik.04507",2017,USA,.,.,Agricultural,"watermelon, cranberry, and blueberry",https://doi.org/10.1111/oik.04507,2018,USA,"Pennsylvania, New Jersey",Agroecosystem,Agricultural intensification,categorical,categorical,NA,categorical,numeric,numeric,NA,NA,numeric,NA,NA,6,yes,yes,no,NA,127,no
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499–2508. https://doi.org/10.1111/1365-2664.13745",,,,,,,https://doi.org/10.1111/1365-2664.13745,2020,Germany,NA,Agroecosystem,Pollination,NA,NA,NA,NA,numeric,NA,NA,NA,numeric,NA,NA,2,no,yes,yes,NA,80,yes
"Beyer, N., Kirsch, F., Gabriel, D., & Westphal, C. (2021). Identity of mass-flowering crops moderates functional trait composition of pollinator communities. Landscape Ecology, 36, 2657–2671. https://doi.org/10.1007/s10980-021-01261-3",,,,,,,https://doi.org/10.1007/s10980-021-01261-3,2021,Germany,NA,Agroecosystem,Pollination,categorical,NA,NA,NA,numeric,NA,NA,NA,categorical,NA,NA,3,yes,yes,no,NA,66,yes
"Bommarco, R., Biesmeijer, J. C., Meyer, B., Potts, S. G., Pöyry, J., Roberts, S. P. M., Steffan-Dewenter, I., & Öckinger, E. (2010). Dispersal capacity and diet breadth modify the response of wild bees to habitat loss. Proceedings of the Royal Society B: Biological Sciences, 277(1690), 2075–2082. https://doi.org/10.1098/rspb.2009.2221",,,,,,,https://doi.org/10.1098/rspb.2009.2221,2010,"Finland, Germany, Sweden",NA,Agroecosystem,Habitat fragmentation,categorical,NA,NA,NA,categorical,categorical,NA,NA,NA,NA,NA,3,yes,yes,no,NA,138,yes
"Buchholz, S., Gathof, A. K., Grossmann, A. J., Kowarik, I., & Fischer, L. K. (2020). Wild bees in urban grasslands: Urbanisation, functional diversity and species traits. Landscape and Urban Planning, 196, 103731. https://doi.org/10.1016/j.landurbplan.2019.103731",2020,Germany,.,.,Urban,.,https://doi.org/10.1016/j.landurbplan.2019.103731,2020,Germany,NA,Urban,Urbanization,categorical,categorical,categorical,NA,numeric,categorical,categorical,numeric,NA,NA,NA,7,yes,no,no,NA,61,yes
"Cabral Borges, R., Padovani, K., Imperatriz-Fonseca, V. L., & Giannini, T. C. (2020). A dataset of multi-functional ecological traits of Brazilian bees. Scientific Data, 7(1), 120. https://doi.org/10.1038/s41597-020-0461-3",2020,Brazil,"poligono: S -5.8666667, -6.55",w -49.88333333333333; -50.75,"Amazonian domain area, mainly covered by forest formations and in a mountain-ous landscape near to urban city and minerals extraction.",.,https://doi.org/10.1038/s51597-020-0461-3,2020,Brazil,NA,Natural,Diversity,categorical,categorical,NA,NA,categorical,NA,NA,NA,NA,foraging range,numeric,4,yes,yes,no,both,334,yes
"Campbell, A. J., Lichtenberg, E. M., Carvalheiro, L. G., Menezes, C., Borges, R. C., Coelho, B. W. T., Freitas, M. A. B., Giannini, T. C., Leão, K. L., de Oliveira, F. F., Silva, T. S. F., & Maués, M. M. (2022). High bee functional diversity buffers crop pollination services against Amazon deforestation. Agriculture, Ecosystems & Environment, 326, 107777. https://doi.org/10.1016/j.agee.2021.107777",,,,,,,https://doi.org/10.1016/j.agee.2021.107777,2022,Brazil,Parana,Agroecosystem,Pollination,NA,NA,categorical,NA,numeric,numeric,NA,NA,NA,"foraging behavior, colony size, tegument color",categorical,6,yes,yes,no,both,33,yes
"Cane, J. H., Minckley, R. L., Kervin, L. J., Roulston, T. H., & Williams, N. M. (2006). Complex Responses Within A Desert Bee Guild (Hymenoptera: Apiformes) To Urban Habitat Fragmentation. Ecological Applications, 16(2), 632–644. https://doi.org/10.1890/1051-0761(2006)016[0632:CRWADB]2.0.CO;2",,,,,,,https://doi.org/10.1890/1051-0761(2006)016[0632:CRWADB]2.0.CO;2,2006,USA,Arizona,Urban,Habitat fragmentation,NA,categorical,NA,NA,categorical,categorical,NA,NA,NA,NA,NA,3,yes,yes,no,NA,62,no
"Carper, A. L., Adler, L. S., Warren, P. S., & Irwin, R. E. (2014). Effects of Suburbanization on Forest Bee Communities. Environmental Entomology, 43(2), 253–262. https://doi.org/10.1603/EN13078",,,,,,,https://doi.org/10.1603/EN13078,2014,USA,North Carolina,Urban; Natural,Urbanization,categorical,categorical,NA,NA,categorical,categorical,NA,NA,NA,NA,NA,4,yes,no,no,NA,71,no
"Carrié, R., Andrieu, E., Cunningham, S. A., Lentini, P. E., Loreau, M., & Ouin, A. (2017). Relationships among ecological traits of wild bee communities along gradients of habitat amount and fragmentation. Ecography, 40(1), 85–97. https://doi.org/10.1111/ecog.02632",,,,,,,https://doi.org/10.1111/ecog.02632,2017,"France, Australia",NA,Agroecosystem,Habitat fragmentation,categorical,categorical,NA,NA,numeric,categorical,NA,numeric,NA,NA,NA,5,yes,yes,no,NA,89,yes
"Cohen, H., Egerer, M., Thomas, S.-S., & Philpott, S. M. (2022). Local and landscape features constrain the trait and taxonomic diversity of urban bees. Landscape Ecology, 37(2), 583–599. https://doi.org/10.1007/s10980-021-01370-z",,,,,,,"https://doi.org/10.1007/s10980-021-01370-z(0123456789().,-volV)(0123456789().,-volV)",2022,USA,California,Urban,Urbanization,categorical,categorical,categorical,NA,numeric,categorical,NA,NA,NA,pollen transport,NA,5,yes,yes,no,categorical,46,yes
"Coutinho, J. G. E., Hipólito, J., Santos, R. L. S., Moreira, E. F., Boscolo, D., & Viana, B. F. (2021). Landscape Structure Is a Major Driver of Bee Functional Diversity in Crops. Frontiers in Ecology and Evolution, 9, 624835. https://doi.org/10.3389/fevo.2021.624835",,,,,,,https://doi.org/10.1016/j.agee.2017.12.025,2021,Brazil,Bahia,Agroecosystem,Diversity,categorical,categorical,categorical,NA,numeric,categorical,NA,NA,categorical,"pilosity, pollen transport, resource specialization",NA,10,yes,yes,no,categorical,125,yes
"Cunningham‐Minnick, M. J., Peters, V. E., & Crist, T. O. (2020). Bee communities and pollination services in adjacent crop fields following flower removal in an invasive forest shrub. Ecological Applications, 30(4), e02078. https://doi.org/10.1002/eap.2078",2020,USA,N 39.422; 39.539; 39.572; 39.645; 39.666,W 84.897; 84.760; 84.801: 84.701; 84.788,secondary-growth forest patch with a south-facing edge of dense L. maackii,conventional corn or soybean monocultures,https://doi.org/10.1002/eap.2078,2020,USA,"Indiana, Ohio",Agroecosystem,Habitat fragmentation,categorical,categorical,NA,NA,numeric,categorical,NA,NA,NA,"pollen transport, pilosity, foraging range",NA,8,yes,yes,yes,both,107,yes
"Dalmazzo, M. (2010). Diversidad y aspectos biológicos de abejas silvestres de un ambiente urbano y otro natural de la región central de Santa Fe, Argentina.",2010,"Argentina, prov. Stanta Fe",Reserva -31.3333333; ZU -31.35,Reserva -60.666666666666664; ZU -61.5,Reserve and urban,.,NA,2010,Argentina,NA,Urban; Natural,Land use and management,categorical,categorical,NA,NA,NA,categorical,NA,NA,NA,NA,NA,3,unspecified,unspecified,no,NA,62,yes
"Davis, T. S., & Comai, N. (2022). Canopy cover and seasonality are associated with variation in native bee assemblages across a mixed pine‐juniper woodland. Agricultural and Forest Entomology, 24(4), 497–505. https://doi.org/10.1111/afe.12511",,,,,,,https://doi.org/10.1111/afe.12511,2022,USA,Colorado,Natural,Diversity,categorical,categorical,NA,NA,categorical,categorical,NA,NA,NA,NA,NA,4,yes,no,no,NA,unspecified,yes
"De Palma, A., Kuhlmann, M., Roberts, S. P. M., Potts, S. G., Börger, L., Hudson, L. N., Lysenko, I., Newbold, T., & Purvis, A. (2015). Ecological traits affect the sensitivity of bees to land‐use pressures in E uropean agricultural landscapes. Journal of Applied Ecology, 52(6), 1567–1577. https://doi.org/10.1111/1365-2664.12524",,,,,,,https://doi.org/10.1111/1365-2664.12524,2015,Meta-analysis: multiple contries,NA,Agroecosystem,Agricultural intensification,categorical,NA,categorical,NA,numeric,categorical,categorical,categorical,categorical,NA,NA,7,yes,no,no,NA,257,yes
