Trait,Authors,Year,Term,Simplified Term,Text Definition,Term Definition Citation,Data Source Citations,
Sociality,Banaszak-Cibicka and Zmihorski,2012,parasitic,cleptoparasite,NA,NA,Banaszak (1993); Scheuchl (1995); Schmid-Egger and Scheuchl (1997); Banaszak et al. (2001); Pesenko et al. (2002); Pawlikowski and Celary (2003),
Sociality,Buchholz et al.,2020,cuckoo,cleptoparasite,NA,NA,"Amiet (1996); Amiet et al. (1999, 2001, 2004, 2007); Gokcezade et al. (2010)",
Sociality,Cabral Borges et al.,2020,cleptoparasitic,cleptoparasite,NA,NA,refs included in dataset CSV,
Sociality,Davis and Comai,2022,kleptoparasitic,cleptoparasite,NA,NA,Scott (2011); Michener (2007),
Sociality,Forrest et al.,2015,cleptoparasitic,cleptoparasite,NA,NA,Michener (2000),
Sociality,Kratschmer et al.,2019,parasitic,cleptoparasite,females lay their eggs in nests of specific host species,NA,Scheuchel and Willner (2016),
Sociality,Nooten et al.,2020,parasitic,cleptoparasite,NA,NA,refs in paper,
Sociality,Normandin et al.,2017,cleptoparasite,cleptoparasite,NA,NA,Ascher and Pickering (2014),
Sociality,O'Brien and Arathi,2019,parasite,cleptoparasite,NA,NA,Michener (1974),
Sociality,O'Brien and Arathi,2019,parasite,cleptoparasite,NA,NA,Michener et al. (1974),
Sociality,Passaseo et al.,2020,clepto-parasite,cleptoparasite,NA,NA,Yuko et al. (2009); Banaszak-Cibicka and Zmihorski (2012); Magnacca and Brown (2012),
Sociality,Wilson and Jamieson,2019,cleptoparasite,cleptoparasite,NA,NA,Gibbs et al.,
Sociality,Jacquemin et al.,2020,cleptoparasites,cleptoparasite,lay their eggs in nests built and supplied with pollen by host species,Goulson (2010),NA,
Sociality,Odanaka and Rehan,2019,cleptoparasitic,cleptoparasite,NA,Kratschmer et al. (2019),NA,
Sociality,Rollin et al.,2015,parasitic,cleptoparasite,mostly kleptoparasitic bees (cuckoo bees) which enter the nest of a host and lay eggs in existing cells,Michener (2007),Refs in paper,
Sociality,Carper et al.,2014,parasitic,cleptoparasite,NA,NA,NA,
Sociality,Cohen et al.,2022,parasitic,cleptoparasite,Bees that invade nests of other species. Example species: Nomada edwardsii,NA,NA,
Sociality,Cunningham-Minnick et al.,2020,parasitic,cleptoparasite,NA,NA,NA,
Sociality,Giannini,2020,cleptoparasitic,cleptoparasite,NA,NA,NA,
Sociality,Gruver and Caradonna,2021,parasitic,cleptoparasite,NA,NA,NA,
Sociality,Hung et al.,2021,cleptoparasitic,cleptoparasite,NA,NA,NA,
Sociality,Hung et al.,2019,cleptoparasitic,cleptoparasite,reproducing in nest of either eusocial or non-eusocial host bee,NA,NA,
Sociality,Mazzeo and Torretta,2015,parasitic,cleptoparasite,NA,NA,NA,
Sociality,Montoya-Pfeiffer et al.,2020,cleptoparasite,cleptoparasite,NA,NA,NA,
Sociality,Papanikolaou et al.,2017,cleptoparasite,cleptoparasite,NA,NA,NA,
Sociality,Pei et al.,2022,cleptoparasitic,cleptoparasite,parasitic bee species that parasitize the collected resources of host bees,NA,,
Sociality,Sobieraj-Betlinska et al.,2022,cleptoparasitic,cleptoparasite,NA,NA,NA,
Sociality,Tonietto et al.,2017,cleptoparasite,cleptoparasite,NA,NA,NA,
Sociality,Normandin et al.,2017,communal,communal,NA,NA,Ascher and Pickering (2014),
Sociality,Wilson and Jamieson,2019,communal,communal,NA,NA,Gibbs et al.,
Sociality,Jacquemin et al.,2020,communal,communal,females share a common nest entrance but supply their own cells,Goulson (2010),NA,
Sociality,Papanikolaou et al.,2017,communal,communal,NA,NA,NA,
Sociality,Pei et al.,2022,communal/semisocial,communal/semisocial,species documented to exhibit flexible sociality or aggregate nests,Michener (2007),NA,
Sociality,Banaszak-Cibicka and Zmihorski,2012,eusocial,eusocial,NA,NA,Banaszak (1993); Scheuchl (1995); Schmid-Egger and Scheuchl (1997); Banaszak et al. (2001); Pesenko et al. (2002); Pawlikowski and Celary (2003),
Sociality,Cabral Borges et al.,2020,eusocial,eusocial,"Apini, Bombini, and Meliponini tribes that present obligatory cooperative brood care",NA,refs included in dataset CSV,
Sociality,Kratschmer et al.,2019,eusocial,eusocial,division of tasks: egg-laying females and females that collect resources,NA,Scheuchel and Willner (2016),
Sociality,Kratschmer et al.,2021,eusocial,eusocial,nest and breed alone,NA,Scheuchel and Willner (2016); Greenleaf et al. (2007); Westrich (2018),
Sociality,Martins et al.,2015,eusocial,eusocial,NA,NA,Refs in paper,
Sociality,Normandin et al.,2017,eusocial,eusocial,NA,NA,Ascher and Pickering (2014),
Sociality,O'Brien and Arathi,2019,eusocial,eusocial,NA,NA,Michener (1974),
Sociality,O'Brien and Arathi,2019,eusocial,eusocial,NA,NA,Michener et al. (1974),
Sociality,Passaseo et al.,2020,eusocial,eusocial,NA,NA,Yuko et al. (2009); Banaszak-Cibicka and Zmihorski (2012); Magnacca and Brown (2012),
Sociality,Staton et al.,2022,eusocial,eusocial,NA,NA,Falk (2017),
Sociality,Wilson and Jamieson,2019,eusocial,eusocial,NA,NA,Gibbs et al.,
Sociality,Dalmazzo,2010,eusociales,eusocial,especies que presentan colonias con división del trabajo en castas y cooperación de dos o más generacions de hembras adultas,Michener (2007),NA,
Sociality,Pei et al.,2022,eusocial,eusocial,"species that have a division of labor with a main egg-laying female(s), including primitively eusocial Halictid species",Michener (2007),NA,
Sociality,Alvarenga et al.,2020,eusocial,eusocial,NA,NA,NA,
Sociality,Bartomeus et al.,2013,eusocial,eusocial,NA,NA,NA,
Sociality,Bartomeus et al.,2018,eusocial,eusocial,NA,NA,NA,
Sociality,Carper et al.,2014,eusocial,eusocial,NA,NA,NA,
Sociality,Graham et al.,2021,eusocial,eusocial,NA,NA,NA,
Sociality,Gruver and Caradonna,2021,eusocial,eusocial,NA,NA,NA,
Sociality,Hung et al.,2019,eusocial,eusocial,possessing clear reproductive caste differentiation,NA,NA,
Sociality,Kammerer et al.,2021,eusocial,eusocial,NA,NA,NA,
Sociality,Sobieraj-Betlinska et al.,2022,eusocial,eusocial,NA,NA,NA,
Sociality,Tonietto et al.,2017,eusocial,eusocial,NA,NA,NA,
Sociality,Bartomeus et al.,2013,facultative social,facultatively social,NA,NA,NA,
Sociality,Bartomeus et al.,2018,facultative social,facultatively social,NA,NA,NA,
Sociality,Graham et al.,2021,facultative,facultatively social,NA,NA,NA,
Sociality,Rollin et al.,2015,gregarious,gregarious,"breed individually like solitary bees but nest close to conspecifics, sometimes at high densities over a limited area (mostly observed in ground nesting species)",Michener (2007),Refs in paper,
Sociality,Graf et al.,2022,highly eusocial,highly eusocial,NA,Martins et al. (2013),NA,
Sociality,Alvarenga et al.,2020,non-eusocial,non-eusocial,NA,NA,NA,
Sociality,Gruver and Caradonna,2021,noneusocial,non-eusocial,NA,NA,NA,
Sociality,Hung et al.,2021,non-eusocial,non-eusocial,NA,NA,NA,
Sociality,Hung et al.,2019,non-eusocial,non-eusocial,"without reproductice caste differentiation (i.e., each female produces own offspring)",NA,NA,
Sociality,Tonietto et al.,2017,non-eusocial,non-eusocial,NA,NA,NA,
Sociality,Beyer et al.,2021,non-social,non-social,NA,NA,NA,
Sociality,Garibaldi et al.,2015,not social,non-social,NA,NA,NA,
Sociality,De Palma et al.,2015,not obligately solitary,not obligately solitary,NA,NA,NA,"highly eusocial, primitively eusocial, solitary/primitively eusocial, polymorphic, social parasites"
Sociality,De Palma et al.,2015,obligately solitary,obligately solitary,NA,NA,NA,"solitary, solitary or communal, communal, cleptoparasitic"
Sociality,Staton et al.,2022,primitively eusocial,primitively eusocial,NA,NA,Falk (2017),
Sociality,Graf et al.,2022,primitive eusocial,primitively eusocial,NA,Martins et al. (2013),NA,
Sociality,Hall et al.,2019,primitively eusocial,primitively eusocial,NA,Michener (1969),NA,
Sociality,Jacquemin et al.,2020,primitively eusocial,primitively eusocial,live in small colonies in which the females go through a solitary phase or may switch between roles as workers or queens,Goulson (2010),NA,
Sociality,Rollin et al.,2015,primitively eusocial,primitively eusocial,"live in small colonies composed of a queen, the only egg-laying female which also initializes th nest, and of worker females which perform current tasks including foraging, cell provisioning, and nursing",Michener (2007),Refs in paper,
Sociality,Hung et al.,2021,primitively eusocial,primitively eusocial,NA,NA,NA,
Sociality,Papanikolaou et al.,2017,primitively eusocial,primitively eusocial,NA,NA,NA,
Sociality,Pisanty and Mandelik,2015,primitively eusocial,primitively eusocial,NA,NA,NA,
Sociality,Hall et al.,2019,semi-social,semi-social,guard bee present,Michener (1969),NA,
Sociality,Montoya-Pfeiffer et al.,2020,semi-social,semi-social,NA,NA,NA,
Sociality,Bommarco et al.,2010,social,social,NA,NA,Michener (2000),
Sociality,Buchholz et al.,2020,social,social,NA,NA,"Amiet (1996); Amiet et al. (1999, 2001, 2004, 2007); Gokcezade et al. (2010)",
Sociality,Carrie et al.,2016,social,social,"included species that live in a colony characterized by cooperative brood care, therefore including eusocial and primitively social species",NA,Settele et al. (2005); Michener (2000); Gathmann and Tscharntke (2002); Bommarco et al. (2010); Fortel et al. (2014); Forrest et al. (2015),
Sociality,Coutinho et al.,2021,social,social,NA,NA,"Michener (1969, 2000); Almeida (2008)",
Sociality,Davis and Comai,2022,social,social,NA,NA,Scott (2011); Michener (2007),
Sociality,Forrest et al.,2015,social,social,NA,NA,Michener (2000),
Sociality,Fortel et al.,2014,social,social,NA,NA,cited in refs,
Sociality,Geppert et al.,2023,social,social,NA,NA,Refs in supplementary,
Sociality,Guenat et al.,2018,social,social,NA,NA,"Michener (1971, 2000); Eardley et al. (2010)",
Sociality,Hopfenmüller et al.,2014,social (large),social,NA,NA,Westrich (1990),
Sociality,Hopfenmüller et al.,2014,social (small),social,NA,NA,Westrich (1990),
Sociality,Jauker et al.,2013,social,social,live in a colony characterized by cooperative brood care,NA,Westrich (1989),
Sociality,McCravy et al.,2019,social,social,NA,NA,Refs in paper,
Sociality,Nooten et al.,2020,social,social,NA,NA,refs in paper,
Sociality,O'Brien and Arathi,2019,social,social,NA,NA,Michener (1974),
Sociality,O'Brien and Arathi,2019,social forms,social,NA,NA,Michener et al. (1974),
Sociality,Roquer-Beni et al.,2021,social,social,NA,NA,BWARS; Westrich (1989); Westrich (2018); Michez et al. (2019),
Sociality,Le Feon et al.,2015,social,social,NA,Michener (2007),Refs in paper,
Sociality,Odanaka and Rehan,2019,social,social,NA,Kratschmer et al. (2019),NA,
Sociality,Beyer et al.,2021,social,social,NA,NA,NA,
Sociality,Cohen et al.,2022,social,social,Eusocial bees or primitively eusocial bees. Example specis: Apis mellifera,NA,NA,
Sociality,Cunningham-Minnick et al.,2020,social,social,NA,NA,NA,
Sociality,Figueroa et al.,2021,social,social,NA,NA,NA,
Sociality,Fortuin and Gandhi,2021,social,social,NA,NA,NA,
Sociality,Garibaldi et al.,2015,social,social,"colony building, including all eusocial as well as semi-social species",NA,NA,
Sociality,Giannini,2020,social,social,NA,NA,NA,
Sociality,Gutiérrez-Chacón et al.,2020,social,social,NA,NA,NA,
Sociality,Hamblin et al.,2017,social,social,NA,NA,NA,
Sociality,Harrison et al.,2018,social,social,NA,NA,NA,
Sociality,Hoiss et al.,2012,social,social,NA,NA,NA,
Sociality,Mazzeo and Torretta,2015,social,social,NA,NA,NA,
Sociality,Montoya-Pfeiffer et al.,2020,social,social,NA,NA,NA,
Sociality,Moretti et al.,2009,social,social,colony founded by single individual on annual cycle (primitive eusocial) or a year-round colony (advanced eusocial),NA,NA,
Sociality,Munyuli,2014,social,social,NA,NA,NA,
Sociality,Rader et al.,2014,social,social,NA,NA,NA,
Sociality,Ricotta and Moretti,2011,social,social,NA,NA,NA,
Sociality,Williams et al.,2010,social,social,NA,NA,NA,
Sociality,Woodcock et al.,2014,social,social,NA,NA,NA,
Sociality,Jacquemin et al.,2020,social parasite,social parasite,mated females or workers are adopted by host speies colonies,Goulson (2010),NA,
Sociality,Papanikolaou et al.,2017,social parasite,social parasite,NA,NA,NA,
Sociality,Banaszak-Cibicka and Zmihorski,2012,solitary,solitary,NA,NA,Banaszak (1993); Scheuchl (1995); Schmid-Egger and Scheuchl (1997); Banaszak et al. (2001); Pesenko et al. (2002); Pawlikowski and Celary (2003),
Sociality,Bommarco et al.,2010,solitary,solitary,NA,NA,Michener (2000),
Sociality,Buchholz et al.,2020,solitary,solitary,NA,NA,"Amiet (1996); Amiet et al. (1999, 2001, 2004, 2007); Gokcezade et al. (2010)",
Sociality,Cabral Borges et al.,2020,solitary,solitary,NA,NA,refs included in dataset CSV,
Sociality,Carrie et al.,2016,solitary,solitary,included species that care only for their own offspring,NA,Settele et al. (2005); Michener (2000); Gathmann and Tscharntke (2002); Bommarco et al. (2010); Fortel et al. (2014); Forrest et al. (2015),
Sociality,Coutinho et al.,2021,solitary,solitary,NA,NA,"Michener (1969, 2000); Almeida (2008)",
Sociality,Davis and Comai,2022,solitary,solitary,NA,NA,Scott (2011); Michener (2007),
Sociality,Forrest et al.,2015,solitary,solitary,NA,NA,Michener (2000),
Sociality,Fortel et al.,2014,solitary,solitary,NA,NA,cited in refs,
Sociality,Geppert et al.,2023,solitary,solitary,NA,NA,Refs in supplementary,
Sociality,Guenat et al.,2018,solitary,solitary,NA,NA,"Michener (1971, 2000); Eardley et al. (2010)",
Sociality,Hopfenmüller et al.,2014,solitary,solitary,NA,NA,Westrich (1990),
Sociality,Jauker et al.,2013,solitary,solitary,cares only for her own offspring,NA,Westrich (1989),
Sociality,Kratschmer et al.,2021,solitary,solitary,"divide tasks (egg-laying, foraging) between castes",NA,Scheuchel and Willner (2016); Greenleaf et al. (2007); Westrich (2018),
Sociality,Kratschmer et al.,2019,solitary,solitary,nest establishment and resource collection by each female alone,NA,Scheuchel and Willner (2016),
Sociality,Martins et al.,2015,solitary,solitary,NA,NA,Refs in paper,
Sociality,McCravy et al.,2019,solitary,solitary,NA,NA,Refs in paper,
Sociality,Nooten et al.,2020,solitary,solitary,NA,NA,refs in paper,
Sociality,Normandin et al.,2017,solitary,solitary,NA,NA,Ascher and Pickering (2014),
Sociality,O'Brien and Arathi,2019,solitary,solitary,NA,NA,Michener (1974),
Sociality,O'Brien and Arathi,2019,solitary,solitary,NA,NA,Michener et al. (1974),
Sociality,Passaseo et al.,2020,solitary,solitary,NA,NA,Yuko et al. (2009); Banaszak-Cibicka and Zmihorski (2012); Magnacca and Brown (2012),
Sociality,Roquer-Beni et al.,2021,solitary,solitary,NA,NA,BWARS; Westrich (1989); Westrich (2018); Michez et al. (2019),
Sociality,Wilson and Jamieson,2019,solitary,solitary,NA,NA,Gibbs et al.,
Sociality,Le Feon et al.,2015,solitary,solitary,NA,Michener (2007),Refs in paper,
Sociality,Dalmazzo,2010,solitarias,solitary,NA,Michener (2007),NA,
Sociality,Graf et al.,2022,solitary,solitary,NA,Martins et al. (2013),NA,
Sociality,Hall et al.,2019,solitary,solitary,NA,Michener (1969),NA,
Sociality,Jacquemin et al.,2020,solitary,solitary,all females are fertile and individually build their nest,Goulson (2010),NA,
Sociality,Odanaka and Rehan,2019,solitary,solitary,NA,Kratschmer et al. (2019),NA,
Sociality,Pei et al.,2022,solitary,solitary,species who provision their own nests,Michener (2007),NA,
Sociality,Rollin et al.,2015,solitary,solitary,construct their own nest and provide offspring with food without any help from conspecifics,Michener (2007),Refs in paper,
Sociality,Bartomeus et al.,2013,solitary,solitary,NA,NA,NA,
Sociality,Bartomeus et al.,2018,solitary,solitary,NA,NA,NA,
Sociality,Carper et al.,2014,solitary,solitary,NA,NA,NA,
Sociality,Cohen et al.,2022,solitary,solitary,"Bees that forage, nest, and reproduce individually for the majority of their lifespan. Example species: Megachile apicalis",NA,NA,
Sociality,Cunningham-Minnick et al.,2020,solitary,solitary,NA,NA,NA,
Sociality,Figueroa et al.,2021,solitary,solitary,NA,NA,NA,
Sociality,Fortuin and Gandhi,2021,solitary,solitary,NA,NA,NA,
Sociality,Giannini,2020,solitary,solitary,NA,NA,NA,
