associatedReferences,associatedReferencesID,acceptedNameUsage,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,verbatimEventDate,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Megachile ericetorum Lepeletier 1841,gbif:1335321,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,3.00,single observation,mm,1,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Megachile ericetorum Lepeletier 1841,gbif:1335321,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,individual,3.00,single observation,mm,NA,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Megachile ericetorum Lepeletier 1841,gbif:1335321,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,individual,5.37,single observation,mm,NA,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Megachile versicolor Smith 1844,gbif:1336116,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.10,mean,mm,3,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Megachile versicolor Smith 1844,gbif:1336116,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.10,mean,mm,3,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Megachile versicolor Smith 1844,gbif:1336116,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,species,5.54,mean,mm,3,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus terrestris (Linnaeus 1758) / Bombus lucorum (Linnaeus 1761),gbif:1340278,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.90,mean,mm,590,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus terrestris (Linnaeus 1758) / Bombus lucorum (Linnaeus 1761),gbif:1340278,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.90,mean,mm,590,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus terrestris (Linnaeus 1758) / Bombus lucorum (Linnaeus 1761),gbif:1340278,tongue size,tongue length,http://purl.obolibrary.org/obo/HAO_0002606,NA,NA,individual,7.87,single observation,mm,NA,NA,NA,NA,NA,summer 2017,NA,female,adult,"Göttingen in Central Germany, close to the North Sea in vicinity of the city Itzehoe and in the east of Germany close to Leipzig",51°32′N; 53°55′N; 51°20′N,9°56′E; 9°30′E;12°22′E,NA,NA,NA,Germany,NA,NA,NA
"Beyer, N., Gabriel, D., Kirsch, F., Schulz‐Kesting, K., Dauber, J., & Westphal, C. (2020). Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale. Journal of Applied Ecology, 57(12), 2499-2508.",https://doi.org/10.1111/1365-2664.13745,Bombus muscorum (Linnaeus 1758),gbif:1340286,body size,ITD,http://purl.obolibrary.org/obo/HAO_0002584,NA,NA,species,3.84,mean,mm,5,NA,NA,NA,NA,summer 2017,NA,female,adult,NA,NA,NA,NA,NA,NA,Germany,NA,NA,NA
